CustomerID,SimilarCustomerID,SimilarityScore
C0072,C0001,0.992
C0073,C0019,0.9924
C0073,C0142,0.9917
C0073,C0132,0.9805
C0074,C0044,0.9918
C0074,C0085,0.9828
C0074,C0185,0.9803
C0075,C0165,0.996
C0075,C0175,0.9929
C0075,C0004,0.9905
C0076,C0166,0.9998
C0076,C0189,0.9971
C0076,C0172,0.997
C0077,C0144,0.9956
C0077,C0062,0.9882
C0077,C0083,0.9882
C0078,C0123,0.9972
C0078,C0015,0.9965
C0078,C0063,0.9924
C0079,C0037,0.9883
C0079,C0196,0.9846
C0079,C0179,0.9761
C0080,C0128,0.9993
C0080,C0110,0.9986
C0080,C0014,0.9951
C0081,C0024,0.9988
C0081,C0194,0.9829
C0081,C0139,0.9806
C0082,C0087,0.9949
C0082,C0156,0.9824
C0082,C0173,0.9811
C0083,C0009,0.9973
C0083,C0198,0.9969
C0083,C0150,0.996
C0084,C0162,0.9969
C0084,C0039,0.9914
C0084,C0148,0.9643
C0085,C0167,0.9864
C0085,C0074,0.9828
C0085,C0177,0.9771
C0086,C0038,0.9999
C0086,C0003,0.997
C0086,C0160,0.996
C0087,C0082,0.9949
C0087,C0173,0.9944
C0087,C0041,0.9928
C0088,C0002,0.998
C0088,C0029,0.9968
C0088,C0129,0.9959
C0089,C0159,0.9912
C0089,C0178,0.9906
C0089,C0052,0.9785
C0090,C0057,0.9855
C0090,C0153,0.9714
C0090,C0018,0.9616
C0091,C0039,0.9556
C0091,C0084,0.9543
C0091,C0181,0.9376
C0092,C0133,0.9963
C0092,C0056,0.9865
C0092,C0129,0.9833
C0093,C0053,0.998
C0093,C0145,0.9954
C0093,C0143,0.9882
C0094,C0121,0.9972
C0094,C0071,0.9795
C0094,C0073,0.9742
C0095,C0119,0.9981
C0095,C0020,0.9949
C0095,C0140,0.9931
C0096,C0051,0.9975
C0096,C0114,0.9895
C0096,C0148,0.9825
C0097,C0014,0.9993
C0097,C0060,0.999
C0097,C0128,0.9951
C0098,C0106,0.995
C0098,C0056,0.9868
C0098,C0030,0.9837
C0099,C0143,0.9944
C0099,C0145,0.9893
C0099,C0013,0.9858
C0100,C0170,0.9972
C0100,C0196,0.9895
C0100,C0037,0.9839
C0101,C0173,0.9984
C0101,C0046,0.9966
C0101,C0041,0.9921
C0102,C0068,0.9978
C0102,C0045,0.9946
C0102,C0028,0.9908
C0103,C0042,0.998
C0103,C0061,0.996
C0103,C0129,0.9897
C0104,C0059,0.9975
C0104,C0163,0.9896
C0104,C0065,0.976
C0105,C0148,0.9835
C0105,C0051,0.9814
C0105,C0039,0.9791
C0106,C0098,0.995
C0106,C0030,0.9947
C0106,C0056,0.9945
C0107,C0183,0.9981
C0107,C0056,0.9928
C0107,C0016,0.9852
C0108,C0200,0.9998
C0108,C0022,0.9965
C0108,C0149,0.9919
C0109,C0143,0.9021
C0109,C0145,0.8871
C0109,C0099,0.876
C0110,C0128,0.9989
C0110,C0080,0.9986
C0110,C0014,0.9944
C0111,C0049,0.9937
C0111,C0134,0.9854
C0111,C0030,0.9658
C0112,C0192,0.9997
C0112,C0199,0.9977
C0112,C0197,0.9976
C0113,C0136,0.9939
C0113,C0008,0.9895
C0113,C0124,0.9818
C0114,C0148,0.998
C0114,C0051,0.9921
C0114,C0096,0.9895
C0115,C0050,0.9999
C0115,C0007,0.9904
C0115,C0146,0.9901
C0116,C0191,0.9926
C0116,C0193,0.9918
C0116,C0174,0.9861
C0117,C0006,0.9948
C0117,C0064,0.9861
C0117,C0011,0.9721
C0118,C0185,0.9912
C0118,C0135,0.9876
C0118,C0137,0.9867
C0119,C0095,0.9981
C0119,C0186,0.9933
C0119,C0020,0.9891
C0120,C0146,0.997
C0120,C0007,0.997
C0120,C0035,0.997
C0121,C0094,0.9972
C0121,C0071,0.9883
C0121,C0043,0.9853
C0122,C0155,0.9964
C0122,C0021,0.9954
C0122,C0153,0.9944
C0123,C0015,0.9986
C0123,C0063,0.998
C0123,C0078,0.9972
C0124,C0008,0.9982
C0124,C0136,0.9932
C0124,C0195,0.9903
C0125,C0135,0.9966
C0125,C0191,0.9892
C0125,C0193,0.9891
C0126,C0006,0.976
C0126,C0168,0.9755
C0126,C0023,0.9715
C0127,C0184,0.9991
C0127,C0001,0.9962
C0127,C0026,0.9931
C0128,C0080,0.9993
C0128,C0110,0.9989
C0128,C0014,0.9978
C0129,C0088,0.9959
C0129,C0002,0.9905
C0129,C0103,0.9897
C0130,C0020,0.9986
C0130,C0095,0.9885
C0130,C0119,0.9818
C0131,C0036,0.9951
C0131,C0132,0.9946
C0131,C0167,0.9936
C0132,C0036,1.0
C0132,C0131,0.9946
C0132,C0071,0.9943
C0133,C0092,0.9963
C0133,C0056,0.9936
C0133,C0106,0.9871
C0134,C0049,0.9939
C0134,C0034,0.9919
C0134,C0111,0.9854
C0135,C0125,0.9966
C0135,C0118,0.9876
C0135,C0193,0.9859
C0136,C0008,0.9984
C0136,C0113,0.9939
C0136,C0124,0.9932
C0137,C0118,0.9867
C0137,C0193,0.9843
C0137,C0135,0.9837
C0138,C0163,0.993
C0138,C0182,0.9916
C0138,C0012,0.9881
C0139,C0011,0.9999
C0139,C0024,0.9842
C0139,C0064,0.9824
C0140,C0095,0.9931
C0140,C0005,0.993
C0140,C0186,0.992
C0141,C0099,0.945
C0141,C0143,0.9096
C0141,C0013,0.8892
C0142,C0019,0.9998
C0142,C0073,0.9917
C0142,C0027,0.9827
C0143,C0145,0.9982
C0143,C0099,0.9944
C0143,C0093,0.9882
C0144,C0062,0.9977
C0144,C0077,0.9956
C0144,C0029,0.9878
C0145,C0143,0.9982
C0145,C0093,0.9954
C0145,C0053,0.9914
C0146,C0007,1.0
C0146,C0120,0.997
C0146,C0192,0.9931
C0147,C0161,0.9944
C0147,C0047,0.9854
C0147,C0174,0.9447
C0148,C0114,0.998
C0148,C0051,0.9895
C0148,C0105,0.9835
C0149,C0022,0.9981
C0149,C0200,0.9939
C0149,C0067,0.9938
C0150,C0058,0.9992
C0150,C0009,0.9986
C0150,C0198,0.9984
C0151,C0060,0.9966
C0151,C0014,0.9954
C0151,C0128,0.994
C0152,C0164,0.9971
C0152,C0158,0.9938
C0152,C0178,0.9832
C0153,C0018,0.9957
C0153,C0122,0.9944
C0153,C0057,0.9935
C0154,C0184,0.9965
C0154,C0048,0.9959
C0154,C0026,0.9959
C0155,C0021,0.9999
C0155,C0122,0.9964
C0155,C0046,0.9895
C0156,C0041,0.9918
C0156,C0175,0.9893
C0156,C0087,0.988
C0157,C0197,0.9973
C0157,C0199,0.997
C0157,C0112,0.9899
C0158,C0152,0.9938
C0158,C0164,0.9845
C0158,C0178,0.9684
C0159,C0025,0.9948
C0159,C0089,0.9912
C0159,C0172,0.9905
C0160,C0003,0.9987
C0160,C0086,0.996
C0160,C0038,0.9953
C0161,C0147,0.9944
C0161,C0047,0.9744
C0161,C0081,0.9737
C0162,C0084,0.9969
C0162,C0039,0.9858
C0162,C0148,0.9801
C0163,C0012,0.9946
C0163,C0138,0.993
C0163,C0104,0.9896
C0164,C0152,0.9971
C0164,C0178,0.9931
C0164,C0189,0.9907
C0165,C0175,0.9969
C0165,C0075,0.996
C0165,C0004,0.9858
C0166,C0076,0.9998
C0166,C0189,0.9983
C0166,C0052,0.997
C0167,C0177,0.9939
C0167,C0131,0.9936
C0167,C0036,0.9905
C0168,C0187,0.9761
C0168,C0126,0.9755
C0168,C0023,0.9682
C0169,C0017,0.9977
C0169,C0004,0.9819
C0169,C0018,0.9787
C0170,C0100,0.9972
C0170,C0182,0.9906
C0170,C0037,0.9845
C0171,C0023,0.9928
C0171,C0021,0.9811
C0171,C0155,0.9809
C0172,C0031,0.999
C0172,C0052,0.9977
C0172,C0076,0.997
C0173,C0046,0.9985
C0173,C0101,0.9984
C0173,C0087,0.9944
C0174,C0070,0.9918
C0174,C0027,0.9868
C0174,C0047,0.9861
C0175,C0165,0.9969
C0175,C0004,0.9936
C0175,C0075,0.9929
C0176,C0030,0.9954
C0176,C0010,0.9895
C0176,C0088,0.9877
C0177,C0167,0.9939
C0177,C0036,0.9786
C0177,C0132,0.9771
C0178,C0052,0.9958
C0178,C0164,0.9931
C0178,C0089,0.9906
C0179,C0037,0.9881
C0179,C0160,0.9822
C0179,C0079,0.9761
C0181,C0190,0.9919
C0181,C0072,0.9826
C0181,C0001,0.9707
C0182,C0012,0.9917
C0182,C0138,0.9916
C0182,C0170,0.9906
C0183,C0107,0.9981
C0183,C0016,0.9874
C0183,C0040,0.987
C0184,C0127,0.9991
C0184,C0001,0.9967
C0184,C0154,0.9965
C0185,C0118,0.9912
C0185,C0074,0.9803
C0185,C0135,0.9795
C0186,C0005,0.9983
C0186,C0112,0.9974
C0186,C0192,0.9963
C0187,C0006,0.9772
C0187,C0168,0.9761
C0187,C0126,0.9588
C0188,C0054,0.9922
C0188,C0102,0.9892
C0188,C0028,0.9881
C0189,C0166,0.9983
C0189,C0076,0.9971
C0189,C0052,0.9966
C0190,C0072,0.9967
C0190,C0181,0.9919
C0190,C0055,0.9865
C0191,C0193,1.0
C0191,C0116,0.9926
C0191,C0125,0.9892
C0192,C0112,0.9997
C0192,C0005,0.9979
C0192,C0199,0.9972
C0193,C0191,1.0
C0193,C0116,0.9918
C0193,C0125,0.9891
C0194,C0024,0.9907
C0194,C0081,0.9829
C0194,C0011,0.9829
C0195,C0124,0.9903
C0195,C0008,0.9807
C0195,C0182,0.9759
C0196,C0100,0.9895
C0196,C0079,0.9846
C0196,C0170,0.9763
C0197,C0199,0.9999
C0197,C0112,0.9976
C0197,C0157,0.9973
C0198,C0009,1.0
C0198,C0150,0.9984
C0198,C0083,0.9969
C0199,C0197,0.9999
C0199,C0112,0.9977
C0199,C0192,0.9972
C0200,C0108,0.9998
C0200,C0022,0.9971
C0200,C0149,0.9939
